8 WRITE monitordata 000000ff
80051 WRITE monitoraddr 00001c80
80052 WRITE monitorcmd 00000001
80053 WRITE monitorcmd 00000000
82710 WRITE monitoraddr 00001d72
82711 WRITE monitorcmd 00000001
82712 WRITE monitorcmd 00000000
82726 WRITE monitoraddr 00001d73
82727 WRITE monitorcmd 00000001
82728 WRITE monitorcmd 00000000
82742 WRITE monitoraddr 00001d74
82743 WRITE monitorcmd 00000001
82744 WRITE monitorcmd 00000000
82758 WRITE monitoraddr 00001d75
82759 WRITE monitorcmd 00000001
82760 WRITE monitorcmd 00000000
82774 WRITE monitoraddr 00001d76
82775 WRITE monitorcmd 00000001
82776 WRITE monitorcmd 00000000
82790 WRITE monitoraddr 00001d77
82791 WRITE monitorcmd 00000001
82792 WRITE monitorcmd 00000000
82806 WRITE monitoraddr 00001d78
82807 WRITE monitorcmd 00000001
82808 WRITE monitorcmd 00000000
82822 WRITE monitoraddr 00001d79
82823 WRITE monitorcmd 00000001
82824 WRITE monitorcmd 00000000
82838 WRITE monitoraddr 00001d7a
82839 WRITE monitorcmd 00000001
82840 WRITE monitorcmd 00000000
82854 WRITE monitoraddr 00001d7b
82855 WRITE monitorcmd 00000001
82856 WRITE monitorcmd 00000000
82870 WRITE monitoraddr 00001d7c
82871 WRITE monitorcmd 00000001
82872 WRITE monitorcmd 00000000
82886 WRITE monitoraddr 00001d7d
82887 WRITE monitorcmd 00000001
82888 WRITE monitorcmd 00000000
82902 WRITE monitoraddr 00001d7e
82903 WRITE monitorcmd 00000001
82904 WRITE monitorcmd 00000000
82918 WRITE monitoraddr 00001d7f
82919 WRITE monitorcmd 00000001
82920 WRITE monitorcmd 00000000
82934 WRITE monitoraddr 00001d80
82935 WRITE monitorcmd 00000001
82936 WRITE monitorcmd 00000000
82950 WRITE monitoraddr 00001d81
82951 WRITE monitorcmd 00000001
82952 WRITE monitorcmd 00000000
82966 WRITE monitoraddr 00001d82
82967 WRITE monitorcmd 00000001
82968 WRITE monitorcmd 00000000
82982 WRITE monitoraddr 00001d83
82983 WRITE monitorcmd 00000001
82984 WRITE monitorcmd 00000000
82998 WRITE monitoraddr 00001d84
82999 WRITE monitorcmd 00000001
83000 WRITE monitorcmd 00000000
83014 WRITE monitoraddr 00001d85
83015 WRITE monitorcmd 00000001
83016 WRITE monitorcmd 00000000
83030 WRITE monitoraddr 00001d86
83031 WRITE monitorcmd 00000001
83032 WRITE monitorcmd 00000000
83046 WRITE monitoraddr 00001d87
83047 WRITE monitorcmd 00000001
83048 WRITE monitorcmd 00000000
83062 WRITE monitoraddr 00001d88
83063 WRITE monitorcmd 00000001
83064 WRITE monitorcmd 00000000
83078 WRITE monitoraddr 00001d89
83079 WRITE monitorcmd 00000001
83080 WRITE monitorcmd 00000000
83094 WRITE monitoraddr 00001d8a
83095 WRITE monitorcmd 00000001
83096 WRITE monitorcmd 00000000
83110 WRITE monitoraddr 00001d8b
83111 WRITE monitorcmd 00000001
83112 WRITE monitorcmd 00000000
83126 WRITE monitoraddr 00001d8c
83127 WRITE monitorcmd 00000001
83128 WRITE monitorcmd 00000000
83142 WRITE monitoraddr 00001d8d
83143 WRITE monitorcmd 00000001
83144 WRITE monitorcmd 00000000
83158 WRITE monitoraddr 00001d8e
83159 WRITE monitorcmd 00000001
83160 WRITE monitorcmd 00000000
85608 WRITE monitoraddr 00001e6d
85609 WRITE monitorcmd 00000001
85610 WRITE monitorcmd 00000000
85624 WRITE monitoraddr 00001e6e
85625 WRITE monitorcmd 00000001
85626 WRITE monitorcmd 00000000
85640 WRITE monitoraddr 00001e6f
85641 WRITE monitorcmd 00000001
85642 WRITE monitorcmd 00000000
85656 WRITE monitoraddr 00001e70
85657 WRITE monitorcmd 00000001
85658 WRITE monitorcmd 00000000
85672 WRITE monitoraddr 00001e71
85673 WRITE monitorcmd 00000001
85674 WRITE monitorcmd 00000000
85688 WRITE monitoraddr 00001e72
85689 WRITE monitorcmd 00000001
85690 WRITE monitorcmd 00000000
85704 WRITE monitoraddr 00001e73
85705 WRITE monitorcmd 00000001
85706 WRITE monitorcmd 00000000
85720 WRITE monitoraddr 00001e74
85721 WRITE monitorcmd 00000001
85722 WRITE monitorcmd 00000000
85736 WRITE monitoraddr 00001e75
85737 WRITE monitorcmd 00000001
85738 WRITE monitorcmd 00000000
85752 WRITE monitoraddr 00001e76
85753 WRITE monitorcmd 00000001
85754 WRITE monitorcmd 00000000
85768 WRITE monitoraddr 00001e77
85769 WRITE monitorcmd 00000001
85770 WRITE monitorcmd 00000000
85784 WRITE monitoraddr 00001e78
85785 WRITE monitorcmd 00000001
85786 WRITE monitorcmd 00000000
85800 WRITE monitoraddr 00001e79
85801 WRITE monitorcmd 00000001
85802 WRITE monitorcmd 00000000
85816 WRITE monitoraddr 00001e7a
85817 WRITE monitorcmd 00000001
85818 WRITE monitorcmd 00000000
85832 WRITE monitoraddr 00001e7b
85833 WRITE monitorcmd 00000001
85834 WRITE monitorcmd 00000000
85848 WRITE monitoraddr 00001e7c
85849 WRITE monitorcmd 00000001
85850 WRITE monitorcmd 00000000
85864 WRITE monitoraddr 00001e7d
85865 WRITE monitorcmd 00000001
85866 WRITE monitorcmd 00000000
85880 WRITE monitoraddr 00001e7e
85881 WRITE monitorcmd 00000001
85882 WRITE monitorcmd 00000000
85896 WRITE monitoraddr 00001e7f
85897 WRITE monitorcmd 00000001
85898 WRITE monitorcmd 00000000
85912 WRITE monitoraddr 00001e80
85913 WRITE monitorcmd 00000001
85914 WRITE monitorcmd 00000000
85928 WRITE monitoraddr 00001e81
85929 WRITE monitorcmd 00000001
85930 WRITE monitorcmd 00000000
85944 WRITE monitoraddr 00001e82
85945 WRITE monitorcmd 00000001
85946 WRITE monitorcmd 00000000
85960 WRITE monitoraddr 00001e83
85961 WRITE monitorcmd 00000001
85962 WRITE monitorcmd 00000000
85976 WRITE monitoraddr 00001e84
85977 WRITE monitorcmd 00000001
85978 WRITE monitorcmd 00000000
85992 WRITE monitoraddr 00001e85
85993 WRITE monitorcmd 00000001
85994 WRITE monitorcmd 00000000
86008 WRITE monitoraddr 00001e86
86009 WRITE monitorcmd 00000001
86010 WRITE monitorcmd 00000000
86024 WRITE monitoraddr 00001e87
86025 WRITE monitorcmd 00000001
86026 WRITE monitorcmd 00000000
86040 WRITE monitoraddr 00001e88
86041 WRITE monitorcmd 00000001
86042 WRITE monitorcmd 00000000
86056 WRITE monitoraddr 00001e89
86057 WRITE monitorcmd 00000001
86058 WRITE monitorcmd 00000000
86072 WRITE monitoraddr 00001e8a
86073 WRITE monitorcmd 00000001
86074 WRITE monitorcmd 00000000
86088 WRITE monitoraddr 00001e8b
86089 WRITE monitorcmd 00000001
86090 WRITE monitorcmd 00000000
86104 WRITE monitoraddr 00001e8c
86105 WRITE monitorcmd 00000001
86106 WRITE monitorcmd 00000000
86120 WRITE monitoraddr 00001e8d
86121 WRITE monitorcmd 00000001
86122 WRITE monitorcmd 00000000
86136 WRITE monitoraddr 00001e8e
86137 WRITE monitorcmd 00000001
86138 WRITE monitorcmd 00000000
86152 WRITE monitoraddr 00001e8f
86153 WRITE monitorcmd 00000001
86154 WRITE monitorcmd 00000000
86168 WRITE monitoraddr 00001e90
86169 WRITE monitorcmd 00000001
86170 WRITE monitorcmd 00000000
86184 WRITE monitoraddr 00001e91
86185 WRITE monitorcmd 00000001
86186 WRITE monitorcmd 00000000
86200 WRITE monitoraddr 00001e92
86201 WRITE monitorcmd 00000001
86202 WRITE monitorcmd 00000000
86216 WRITE monitoraddr 00001e93
86217 WRITE monitorcmd 00000001
86218 WRITE monitorcmd 00000000
88556 WRITE monitoraddr 00001f68
88557 WRITE monitorcmd 00000001
88558 WRITE monitorcmd 00000000
88572 WRITE monitoraddr 00001f69
